,precision,recall,f1-score,support
0,0.4364801864801865,0.2066777041942605,0.2805243445692884,3624.0
1,0.0,0.0,0.0,0.0
2,0.3317972350230415,0.43636363636363634,0.3769633507853403,165.0
3,0.9984051036682615,0.992862807295797,0.9956262425447316,1261.0
4,0.0,0.0,0.0,51.0
5,0.31938325991189426,0.25,0.2804642166344294,580.0
6,0.0,0.0,0.0,61.0
7,0.8203252814936002,0.9136120042872454,0.8644592059226206,18660.0
8,0.1348314606741573,0.09022556390977443,0.10810810810810811,133.0
9,0.6566731141199227,0.5009837678307919,0.568359375,4066.0
10,0.012048192771084338,0.1111111111111111,0.021739130434782608,18.0
11,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
accuracy,0.7448548167301443,0.7448548167301443,0.7448548167301443,0.7448548167301443
macro avg,0.26499598815301056,0.2501311853566155,0.2497317124285215,28619.0
weighted avg,0.7364420123861526,0.7448548167301443,0.7321534924032239,28619.0
